anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA36977463,-45,26,0.6,-0.6,1.13,-55,-64,20BA3608EE7D,2026-01-27T07:42:43.8469876Z
20BA36977463,-44,9,0.6,-0.6,1.13,-55,-66,20BA3608EE7D,2026-01-27T07:42:43.9022898Z
20BA36977463,-44,13,0.6,-0.6,1.13,-55,-64,20BA3608EE7D,2026-01-27T07:42:43.9764932Z
20BA36977463,-45,36,0.6,-0.6,1.13,-55,-65,20BA3608EE7D,2026-01-27T07:42:43.992958Z
20BA36977463,-46,27,0.6,-0.6,1.13,-55,-64,20BA3608EE7D,2026-01-27T07:42:44.0665246Z
20BA36977463,-45,7,0.6,-0.6,1.13,-55,-69,20BA3608EE7D,2026-01-27T07:42:44.1022906Z
20BA36977463,-45,6,0.6,-0.6,1.13,-55,-68,20BA3608EE7D,2026-01-27T07:42:44.1505306Z
20BA36977463,-45,1,0.6,-0.6,1.13,-56,-66,20BA3608EE7D,2026-01-27T07:42:44.1991021Z
20BA36977463,-45,25,0.6,-0.6,1.13,-55,-64,20BA3608EE7D,2026-01-27T07:42:44.2369634Z
20BA36977463,-45,9,0.6,-0.6,1.13,-56,-66,20BA3608EE7D,2026-01-27T07:42:44.2994095Z
20BA36977463,-46,35,0.6,-0.6,1.13,-56,-66,20BA3608EE7D,2026-01-27T07:42:44.3869417Z
20BA36977463,-46,3,0.6,-0.6,1.13,-56,-65,20BA3608EE7D,2026-01-27T07:42:44.4462966Z
20BA36977463,-46,13,0.6,-0.6,1.13,-56,-64,20BA3608EE7D,2026-01-27T07:42:44.4967462Z
20BA36977463,-46,9,0.6,-0.6,1.13,-56,-67,20BA3608EE7D,2026-01-27T07:42:44.5516243Z
20BA36977463,-46,6,0.6,-0.6,1.13,-56,-68,20BA3608EE7D,2026-01-27T07:42:44.5827507Z
20BA36977463,-46,14,0.6,-0.6,1.13,-57,-65,20BA3608EE7D,2026-01-27T07:42:44.6482426Z
20BA36977463,-46,12,0.6,-0.6,1.13,-56,-66,20BA3608EE7D,2026-01-27T07:42:44.7265543Z
20BA36977463,-46,2,0.6,-0.6,1.13,-57,-65,20BA3608EE7D,2026-01-27T07:42:44.7419737Z
20BA36977463,-45,21,0.6,-0.6,1.13,-56,-68,20BA3608EE7D,2026-01-27T07:42:44.7957277Z
20BA36977463,-45,31,0.6,-0.6,1.13,-56,-66,20BA3608EE7D,2026-01-27T07:42:44.8472108Z
20BA36977463,-45,30,0.6,-0.6,1.13,-55,-67,20BA3608EE7D,2026-01-27T07:42:44.8994496Z
20BA36977463,-45,16,0.6,-0.6,1.13,-55,-69,20BA3608EE7D,2026-01-27T07:42:44.9383915Z
20BA36977463,-45,22,0.6,-0.6,1.13,-55,-66,20BA3608EE7D,2026-01-27T07:42:44.9960186Z
20BA36977463,-45,24,0.6,-0.6,1.13,-54,-65,20BA3608EE7D,2026-01-27T07:42:45.0492629Z
