anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA369AFC6B,26,16,1.8,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-27T11:05:18.0973269Z
20BA369AFC6B,26,13,1.8,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-27T11:05:18.1566785Z
20BA369AFC6B,26,29,1.8,-1.2,0.73,-36,-63,20BA3608EE7D,2026-01-27T11:05:18.20262Z
20BA369AFC6B,26,10,1.8,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-27T11:05:18.2437833Z
20BA369AFC6B,26,1,1.8,-1.2,0.73,-36,-57,20BA3608EE7D,2026-01-27T11:05:18.3096762Z
20BA369AFC6B,26,27,1.8,-1.2,0.73,-36,-65,20BA3608EE7D,2026-01-27T11:05:18.3661802Z
20BA369AFC6B,26,15,1.8,-1.2,0.73,-36,-58,20BA3608EE7D,2026-01-27T11:05:18.461423Z
20BA369AFC6B,25,14,1.8,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-27T11:05:18.5030996Z
20BA369AFC6B,26,32,1.8,-1.2,0.73,-36,-65,20BA3608EE7D,2026-01-27T11:05:18.5507687Z
20BA369AFC6B,26,17,1.8,-1.2,0.73,-36,-60,20BA3608EE7D,2026-01-27T11:05:18.599268Z
20BA369AFC6B,26,32,1.8,-1.2,0.73,-36,-65,20BA3608EE7D,2026-01-27T11:05:18.6536121Z
20BA369AFC6B,26,8,1.8,-1.2,0.73,-36,-58,20BA3608EE7D,2026-01-27T11:05:18.7072286Z
20BA369AFC6B,27,20,1.8,-1.2,0.73,-37,-65,20BA3608EE7D,2026-01-27T11:05:18.750545Z
20BA369AFC6B,27,34,1.8,-1.2,0.73,-37,-63,20BA3608EE7D,2026-01-27T11:05:18.8108304Z
20BA369AFC6B,27,24,1.8,-1.2,0.73,-37,-75,20BA3608EE7D,2026-01-27T11:05:18.8597888Z
20BA369AFC6B,27,3,1.8,-1.2,0.73,-36,-57,20BA3608EE7D,2026-01-27T11:05:18.9271564Z
20BA369AFC6B,26,26,1.8,-1.2,0.73,-36,-66,20BA3608EE7D,2026-01-27T11:05:18.9455685Z
20BA369AFC6B,26,11,1.8,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-27T11:05:19.009003Z
20BA369AFC6B,26,2,1.8,-1.2,0.73,-36,-57,20BA3608EE7D,2026-01-27T11:05:19.0624771Z
20BA369AFC6B,26,28,1.8,-1.2,0.73,-36,-65,20BA3608EE7D,2026-01-27T11:05:19.1046045Z
20BA369AFC6B,26,28,1.8,-1.2,0.73,-35,-64,20BA3608EE7D,2026-01-27T11:05:19.1579234Z
20BA369AFC6B,26,13,1.8,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-27T11:05:19.2353625Z
20BA369AFC6B,26,0,1.8,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-27T11:05:19.2515247Z
20BA369AFC6B,26,29,1.8,-1.2,0.73,-35,-64,20BA3608EE7D,2026-01-27T11:05:19.3088094Z
20BA369AFC6B,26,29,1.8,-1.2,0.73,-35,-64,20BA3608EE7D,2026-01-27T11:05:19.3519625Z
20BA369AFC6B,26,17,1.8,-1.2,0.73,-36,-60,20BA3608EE7D,2026-01-27T11:05:19.4023045Z
20BA369AFC6B,26,4,1.8,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-27T11:05:19.4515345Z
20BA369AFC6B,26,27,1.8,-1.2,0.73,-35,-64,20BA3608EE7D,2026-01-27T11:05:19.4952872Z
20BA369AFC6B,26,32,1.8,-1.2,0.73,-35,-64,20BA3608EE7D,2026-01-27T11:05:19.5472537Z
20BA369AFC6B,26,27,1.8,-1.2,0.73,-34,-64,20BA3608EE7D,2026-01-27T11:05:19.6123641Z
20BA369AFC6B,26,34,1.8,-1.2,0.73,-34,-63,20BA3608EE7D,2026-01-27T11:05:19.6417023Z
20BA369AFC6B,26,10,1.8,-1.2,0.73,-34,-59,20BA3608EE7D,2026-01-27T11:05:19.709398Z
20BA369AFC6B,26,25,1.8,-1.2,0.73,-34,-70,20BA3608EE7D,2026-01-27T11:05:19.7578823Z
20BA369AFC6B,26,18,1.8,-1.2,0.73,-35,-60,20BA3608EE7D,2026-01-27T11:05:19.807627Z
20BA369AFC6B,26,5,1.8,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-27T11:05:19.8547541Z
20BA369AFC6B,26,27,1.8,-1.2,0.73,-34,-64,20BA3608EE7D,2026-01-27T11:05:19.9042713Z
20BA369AFC6B,26,9,1.8,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-27T11:05:19.9556879Z
20BA369AFC6B,26,16,1.8,-1.2,0.73,-35,-60,20BA3608EE7D,2026-01-27T11:05:20.0084704Z
20BA369AFC6B,26,21,1.8,-1.2,0.73,-36,-65,20BA3608EE7D,2026-01-27T11:05:20.0495516Z
20BA369AFC6B,26,26,1.8,-1.2,0.73,-36,-66,20BA3608EE7D,2026-01-27T11:05:20.1022672Z
20BA369AFC6B,26,25,1.8,-1.2,0.73,-35,-70,20BA3608EE7D,2026-01-27T11:05:20.1470237Z
20BA369AFC6B,26,1,1.8,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-27T11:05:20.211703Z
20BA369AFC6B,26,26,1.8,-1.2,0.73,-35,-66,20BA3608EE7D,2026-01-27T11:05:20.2590971Z
20BA369AFC6B,26,28,1.8,-1.2,0.73,-34,-65,20BA3608EE7D,2026-01-27T11:05:20.3165034Z
20BA369AFC6B,26,36,1.8,-1.2,0.73,-34,-63,20BA3608EE7D,2026-01-27T11:05:20.3630286Z
20BA369AFC6B,26,29,1.8,-1.2,0.73,-34,-64,20BA3608EE7D,2026-01-27T11:05:20.4075419Z
20BA369AFC6B,26,16,1.8,-1.2,0.73,-35,-59,20BA3608EE7D,2026-01-27T11:05:20.4571166Z
20BA369AFC6B,26,13,1.8,-1.2,0.73,-35,-59,20BA3608EE7D,2026-01-27T11:05:20.5094888Z
20BA369AFC6B,26,8,1.8,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-27T11:05:20.5581251Z
20BA369AFC6B,26,31,1.8,-1.2,0.73,-34,-63,20BA3608EE7D,2026-01-27T11:05:20.6075521Z
20BA369AFC6B,26,34,1.8,-1.2,0.73,-34,-64,20BA3608EE7D,2026-01-27T11:05:20.7079133Z
20BA369AFC6B,26,10,1.8,-1.2,0.73,-35,-60,20BA3608EE7D,2026-01-27T11:05:20.7581227Z
20BA369AFC6B,26,12,1.8,-1.2,0.73,-35,-59,20BA3608EE7D,2026-01-27T11:05:20.8023468Z
20BA369AFC6B,25,15,1.8,-1.2,0.73,-35,-58,20BA3608EE7D,2026-01-27T11:05:20.8518447Z
20BA369AFC6B,26,16,1.8,-1.2,0.73,-36,-59,20BA3608EE7D,2026-01-27T11:05:20.9040271Z
20BA369AFC6B,26,31,1.8,-1.2,0.73,-36,-63,20BA3608EE7D,2026-01-27T11:05:20.9555375Z
20BA369AFC6B,26,4,1.8,-1.2,0.73,-35,-57,20BA3608EE7D,2026-01-27T11:05:20.9984149Z
20BA369AFC6B,26,21,1.8,-1.2,0.73,-36,-65,20BA3608EE7D,2026-01-27T11:05:21.0474335Z
20BA369AFC6B,26,20,1.8,-1.2,0.73,-37,-64,20BA3608EE7D,2026-01-27T11:05:21.0956791Z
