anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA369AFC6B,23,8,0.6,-4.2,0.73,-22,-63,20BA3608EE7D,2026-01-29T09:57:13.7766938Z
20BA36977463,-42,21,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:50:43.785973Z
20BA36977463,-40,21,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:50:44.0004145Z
20BA36977463,-41,36,0.6,-0.6,0.73,-45,-62,20BA3608EE7D,2026-01-29T09:50:44.2586531Z
20BA36977463,-40,17,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:50:44.5347987Z
20BA36977463,-40,23,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:50:45.2840443Z
20BA36977463,-38,20,0.6,-0.6,0.73,-44,-61,20BA3608EE7D,2026-01-29T09:50:45.5981347Z
20BA36977463,-39,35,0.6,-0.6,0.73,-44,-62,20BA3608EE7D,2026-01-29T09:50:46.2578862Z
20BA36977463,-41,5,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:50:46.5039609Z
20BA36977463,-40,23,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:50:46.7606121Z
20BA36977463,-38,33,0.6,-0.6,0.73,-44,-61,20BA3608EE7D,2026-01-29T09:50:47.0313693Z
20BA36977463,-45,0,0.6,-0.6,0.73,-46,-56,20BA3608EE7D,2026-01-29T09:50:47.2716709Z
20BA36977463,-43,34,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:50:47.5199395Z
20BA36977463,-42,34,0.6,-0.6,0.73,-44,-62,20BA3608EE7D,2026-01-29T09:50:47.7549726Z
20BA36977463,-41,12,0.6,-0.6,0.73,-44,-59,20BA3608EE7D,2026-01-29T09:50:48.0057004Z
20BA36977463,-44,7,0.6,-0.6,0.73,-46,-61,20BA3608EE7D,2026-01-29T09:50:48.2934981Z
20BA36977463,-46,7,0.6,-0.6,0.73,-47,-61,20BA3608EE7D,2026-01-29T09:50:48.5071848Z
20BA36977463,-44,18,0.6,-0.6,0.73,-46,-60,20BA3608EE7D,2026-01-29T09:50:48.7535089Z
20BA36977463,-45,7,0.6,-0.6,0.73,-47,-61,20BA3608EE7D,2026-01-29T09:50:48.9892678Z
20BA36977463,-50,0,0.6,-0.6,0.73,-48,-57,20BA3608EE7D,2026-01-29T09:50:49.2515462Z
20BA36977463,-47,17,0.6,-0.6,0.73,-48,-60,20BA3608EE7D,2026-01-29T09:50:49.5087121Z
20BA36977463,-46,26,0.6,-0.6,0.73,-48,-59,20BA3608EE7D,2026-01-29T09:50:49.7548464Z
20BA36977463,-44,21,0.6,-0.6,0.73,-47,-61,20BA3608EE7D,2026-01-29T09:50:49.9899961Z
20BA36977463,-42,21,0.6,-0.6,0.73,-46,-61,20BA3608EE7D,2026-01-29T09:50:50.259715Z
20BA36977463,-41,21,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:50:50.5549327Z
20BA36977463,-41,34,0.6,-0.6,0.73,-44,-61,20BA3608EE7D,2026-01-29T09:50:50.7726932Z
20BA36977463,-42,6,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:50:51.051337Z
20BA36977463,-42,17,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:50:51.2541606Z
20BA36977463,-42,24,0.6,-0.6,0.73,-46,-61,20BA3608EE7D,2026-01-29T09:50:51.9764332Z
20BA36977463,-41,20,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:50:52.0611066Z
20BA36977463,-40,23,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:50:52.2758666Z
20BA36977463,-38,29,0.6,-0.6,0.73,-44,-60,20BA3608EE7D,2026-01-29T09:50:52.4963112Z
20BA36977463,-43,1,0.6,-0.6,0.73,-45,-59,20BA3608EE7D,2026-01-29T09:50:52.7549371Z
20BA36977463,-43,35,0.6,-0.6,0.73,-45,-62,20BA3608EE7D,2026-01-29T09:50:53.0306703Z
20BA36977463,-46,3,0.6,-0.6,0.73,-46,-60,20BA3608EE7D,2026-01-29T09:50:53.2562607Z
20BA36977463,-47,9,0.6,-0.6,0.73,-47,-59,20BA3608EE7D,2026-01-29T09:50:53.5516086Z
20BA36977463,-48,7,0.6,-0.6,0.73,-48,-60,20BA3608EE7D,2026-01-29T09:50:53.7546999Z
20BA36977463,-47,12,0.6,-0.6,0.73,-47,-60,20BA3608EE7D,2026-01-29T09:50:53.9957227Z
20BA36977463,-46,14,0.6,-0.6,0.73,-47,-58,20BA3608EE7D,2026-01-29T09:50:54.2642528Z
20BA36977463,-48,2,0.6,-0.6,0.73,-48,-60,20BA3608EE7D,2026-01-29T09:50:54.4980468Z
20BA36977463,-51,1,0.6,-0.6,0.73,-49,-59,20BA3608EE7D,2026-01-29T09:50:54.7647598Z
20BA36977463,-47,29,0.6,-0.6,0.73,-47,-61,20BA3608EE7D,2026-01-29T09:50:55.0442116Z
20BA36977463,-46,24,0.6,-0.6,0.73,-46,-61,20BA3608EE7D,2026-01-29T09:50:55.2507158Z
20BA36977463,-45,19,0.6,-0.6,0.73,-46,-60,20BA3608EE7D,2026-01-29T09:50:55.5204773Z
20BA36977463,-43,34,0.6,-0.6,0.73,-45,-62,20BA3608EE7D,2026-01-29T09:50:55.7444275Z
20BA36977463,-42,28,0.6,-0.6,0.73,-44,-60,20BA3608EE7D,2026-01-29T09:50:56.0049415Z
20BA36977463,-41,14,0.6,-0.6,0.73,-44,-59,20BA3608EE7D,2026-01-29T09:50:56.2864282Z
20BA36977463,-44,4,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:50:56.500457Z
20BA36977463,-45,6,0.6,-0.6,0.73,-46,-61,20BA3608EE7D,2026-01-29T09:50:56.8912343Z
20BA36977463,-49,0,0.6,-0.6,0.73,-48,-57,20BA3608EE7D,2026-01-29T09:50:57.1179766Z
20BA36977463,-48,26,0.6,-0.6,0.73,-48,-59,20BA3608EE7D,2026-01-29T09:50:57.2653365Z
20BA36977463,-48,25,0.6,-0.6,0.73,-48,-59,20BA3608EE7D,2026-01-29T09:50:57.5228945Z
20BA36977463,-45,18,0.6,-0.6,0.73,-47,-59,20BA3608EE7D,2026-01-29T09:50:57.9119082Z
20BA36977463,-45,35,0.6,-0.6,0.73,-46,-62,20BA3608EE7D,2026-01-29T09:50:58.1299848Z
20BA36977463,-44,11,0.6,-0.6,0.73,-46,-59,20BA3608EE7D,2026-01-29T09:50:58.2601312Z
20BA36977463,-42,33,0.6,-0.6,0.73,-45,-62,20BA3608EE7D,2026-01-29T09:50:58.5032141Z
20BA36977463,-43,26,0.6,-0.6,0.73,-46,-59,20BA3608EE7D,2026-01-29T09:50:58.7496167Z
20BA36977463,-43,16,0.6,-0.6,0.73,-46,-59,20BA3608EE7D,2026-01-29T09:50:59.2636717Z
20BA36977463,-43,17,0.6,-0.6,0.73,-47,-60,20BA3608EE7D,2026-01-29T09:50:59.5233031Z
20BA36977463,-42,20,0.6,-0.6,0.73,-46,-60,20BA3608EE7D,2026-01-29T09:50:59.9739061Z
20BA36977463,-41,25,0.6,-0.6,0.73,-45,-59,20BA3608EE7D,2026-01-29T09:51:00.1507177Z
20BA36977463,-40,21,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:51:00.2804054Z
20BA36977463,-41,25,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:51:00.5058142Z
20BA36977463,-39,29,0.6,-0.6,0.73,-45,-61,20BA3608EE7D,2026-01-29T09:51:00.7521091Z
20BA36977463,-39,18,0.6,-0.6,0.73,-44,-60,20BA3608EE7D,2026-01-29T09:51:01.168222Z
20BA36977463,-40,8,0.6,-0.6,0.73,-45,-60,20BA3608EE7D,2026-01-29T09:51:01.2662932Z
20BA36977463,-40,16,0.6,-0.6,0.73,-46,-59,20BA3608EE7D,2026-01-29T09:51:01.5060991Z
