anchor_mac,azimuth,channel,drone_x,drone_y,drone_z,elevation,rssi,tag_mac,time
20BA36977463,-19,20,1.8,-4.2,1.13,-2,-72,20BA3608EE7D,2026-01-29T09:29:00.1085907Z
20BA36977463,-22,8,1.8,-4.2,1.13,-5,-63,20BA3608EE7D,2026-01-29T09:29:00.3602523Z
20BA36977463,-21,34,1.8,-4.2,1.13,-7,-64,20BA3608EE7D,2026-01-29T09:29:00.6073238Z
20BA36977463,-19,15,1.8,-4.2,1.13,-4,-72,20BA3608EE7D,2026-01-29T09:29:00.8780329Z
20BA36977463,-22,3,1.8,-4.2,1.13,-8,-63,20BA3608EE7D,2026-01-29T09:29:01.2476901Z
20BA36977463,-22,13,1.8,-4.2,1.13,-4,-72,20BA3608EE7D,2026-01-29T09:29:01.3621973Z
20BA36977463,-20,35,1.8,-4.2,1.13,-6,-66,20BA3608EE7D,2026-01-29T09:29:01.864613Z
20BA36977463,-22,5,1.8,-4.2,1.13,-9,-62,20BA3608EE7D,2026-01-29T09:29:02.756224Z
20BA36977463,-20,19,1.8,-4.2,1.13,-5,-70,20BA3608EE7D,2026-01-29T09:29:02.859428Z
20BA36977463,-19,33,1.8,-4.2,1.13,-5,-66,20BA3608EE7D,2026-01-29T09:29:03.1117958Z
20BA36977463,-20,7,1.8,-4.2,1.13,-9,-65,20BA3608EE7D,2026-01-29T09:29:03.4943025Z
20BA36977463,-19,34,1.8,-4.2,1.13,-8,-65,20BA3608EE7D,2026-01-29T09:29:03.7034885Z
20BA36977463,-16,27,1.8,-4.2,1.13,-8,-74,20BA3608EE7D,2026-01-29T09:29:03.8667916Z
20BA36977463,-73,2,2.4,-0.6,1.13,-31,-60,20BA3608EE7D,2026-01-29T09:29:57.9669677Z
20BA36977463,-72,24,2.4,-0.6,1.13,-29,-67,20BA3608EE7D,2026-01-29T09:29:58.5820386Z
20BA36977463,-71,27,2.4,-0.6,1.13,-28,-64,20BA3608EE7D,2026-01-29T09:29:58.6998745Z
20BA36977463,-72,14,2.4,-0.6,1.13,-31,-63,20BA3608EE7D,2026-01-29T09:29:59.1332561Z
20BA36977463,-73,0,2.4,-0.6,1.13,-31,-61,20BA3608EE7D,2026-01-29T09:29:59.3871082Z
20BA36977463,-73,3,2.4,-0.6,1.13,-32,-60,20BA3608EE7D,2026-01-29T09:29:59.6409907Z
20BA36977463,-74,33,2.4,-0.6,1.13,-30,-63,20BA3608EE7D,2026-01-29T09:29:59.8622157Z
20BA36977463,-74,11,2.4,-0.6,1.13,-31,-61,20BA3608EE7D,2026-01-29T09:30:00.1171552Z
20BA36977463,-74,7,2.4,-0.6,1.13,-34,-60,20BA3608EE7D,2026-01-29T09:30:00.3670479Z
20BA36977463,-74,32,2.4,-0.6,1.13,-31,-63,20BA3608EE7D,2026-01-29T09:30:00.6110241Z
20BA36977463,-74,14,2.4,-0.6,1.13,-32,-63,20BA3608EE7D,2026-01-29T09:30:00.8566754Z
20BA36977463,-74,19,2.4,-0.6,1.13,-30,-67,20BA3608EE7D,2026-01-29T09:30:01.1079595Z
20BA36977463,-74,4,2.4,-0.6,1.13,-31,-60,20BA3608EE7D,2026-01-29T09:30:01.3652942Z
20BA36977463,-72,26,2.4,-0.6,1.13,-29,-65,20BA3608EE7D,2026-01-29T09:30:01.6125132Z
20BA36977463,-73,13,2.4,-0.6,1.13,-30,-62,20BA3608EE7D,2026-01-29T09:30:01.8590043Z
20BA36977463,-71,24,2.4,-0.6,1.13,-28,-66,20BA3608EE7D,2026-01-29T09:30:02.1114266Z
20BA36977463,-72,30,2.4,-0.6,1.13,-26,-63,20BA3608EE7D,2026-01-29T09:30:02.368392Z
20BA36977463,-72,29,2.4,-0.6,1.13,-26,-63,20BA3608EE7D,2026-01-29T09:30:02.6256975Z
20BA36977463,-73,33,2.4,-0.6,1.13,-25,-63,20BA3608EE7D,2026-01-29T09:30:02.8608806Z
20BA36977463,-72,27,2.4,-0.6,1.13,-24,-64,20BA3608EE7D,2026-01-29T09:30:03.1127019Z
20BA36977463,-71,22,2.4,-0.6,1.13,-23,-66,20BA3608EE7D,2026-01-29T09:30:03.3611535Z
20BA36977463,-72,3,2.4,-0.6,1.13,-26,-60,20BA3608EE7D,2026-01-29T09:30:03.6145903Z
20BA36977463,-72,15,2.4,-0.6,1.13,-26,-63,20BA3608EE7D,2026-01-29T09:30:03.8684825Z
20BA36977463,-73,33,2.4,-0.6,1.13,-25,-63,20BA3608EE7D,2026-01-29T09:30:04.1141592Z
20BA36977463,-73,6,2.4,-0.6,1.13,-29,-59,20BA3608EE7D,2026-01-29T09:30:04.3699152Z
20BA36977463,-74,10,2.4,-0.6,1.13,-30,-61,20BA3608EE7D,2026-01-29T09:30:04.6138747Z
20BA36977463,-73,29,2.4,-0.6,1.13,-28,-63,20BA3608EE7D,2026-01-29T09:30:04.8632946Z
20BA36977463,-74,1,2.4,-0.6,1.13,-30,-60,20BA3608EE7D,2026-01-29T09:30:05.1132649Z
