drone_x,drone_y,drone_z,anchor1_azimuth_error,anchor1_elevation_error,anchor2_azimuth_error,anchor2_elevation_error
0.0,-4.2,0.73,6.666666666666657,3.558462428944779,1.6520652679432715,-10.219836189269017
0.0,-4.2,1.13,6.449238578680195,0.9191093001401782,0.9102911168508854,-7.681605740131317
0.0,-3.6,0.33,3.8974358974358836,4.130638459974904,-0.11559944087341023,10.246684185572718
0.0,-3.6,0.73,5.139130434782601,-7.128420343076442,-1.1540675259797695,5.664824592624484
0.0,-3.6,1.13,1.9860627177700394,15.38119740050442,-4.649058062257382,-2.703632352257415
0.0,-3.0,0.33,2.597503900155999,-5.009752992461728,-1.532930123873058,3.5855301877503223
0.0,-3.0,0.73,4.792000000000002,-5.307819534524015,4.864001269719438,-13.630290818412988
0.0,-3.0,1.13,2.308641975308632,-4.66583638375451,2.873314774301093,-9.253486306579333
0.0,-2.4,0.33,1.4199999999999875,4.807409843392946,-0.3259762308998404,14.711147306618443
0.0,-2.4,0.73,3.596899224806208,1.4141368830858312,-4.147540983606575,8.531611459855895
0.0,-2.4,1.13,6.63071895424838,-7.842935967314787,0.9305555555555429,3.9662025331027735
0.0,-1.8,0.33,2.7031746031746025,-5.703205676593882,8.50833412792872,2.4825102159819323
0.0,-1.8,0.73,6.507936507936506,-4.68661696233201,3.0622053381517276,-10.223819534524011
0.0,-1.8,1.13,6.576433121019107,-6.533177391063077,11.741608172159829,-8.343833459777898
0.0,-1.2,0.33,-0.20584329349270547,-4.182845696724939,4.2832083586498015,-10.919652022557557
0.0,-1.2,0.73,6.181102362204712,-3.5604724778417847,7.065051177077976,17.16188046021051
0.0,-1.2,1.13,14.769968051118212,-0.6121886355898027,-1.2307965737870745,33.21785420147128
0.0,-0.6,0.33,1.9067930489731566,-6.173408468717298,-2.9805350555634504,7.4873537409252435
0.0,-0.6,0.73,9.6328125,1.2076057565310805,-3.1182280767889665,11.318588700825217
0.0,-0.6,1.13,39.380503144654085,-4.007996009264048,-7.911639268229891,13.364087962043328
0.6,-4.2,0.33,6.968660347886384,22.06359830213296,-3.2357422164345735,-7.95913703940036
0.6,-4.2,0.73,4.5838838667610275,5.855304648714025,-2.189894861474272,-14.85378065359862
0.6,-4.2,1.13,5.14572735415598,-7.906180612401556,-5.836385789238733,-0.6137202088079334
0.6,-3.6,0.33,3.3185623344079147,12.452542849266791,-7.56039279198481,2.1638569367047467
0.6,-3.6,0.73,8.165712038534082,-10.773779330131845,-6.272368250248718,6.727139459918163
0.6,-3.6,1.13,5.85362655585169,12.30284970869377,1.9469970156930856,-8.715463686026936
0.6,-3.0,0.33,3.9583699740202007,-1.1999071721222947,-1.6092673679868312,2.275434045210176
0.6,-3.0,0.73,7.184932474020201,-4.008275856323166,-8.854665622982623,2.831494343299198
0.6,-3.0,1.13,3.7279218920096184,3.1395375098208547,-3.883969298030962,2.3041413147916217
0.6,-2.4,0.33,2.0060367906609713,-0.5481719150109825,1.136574846065372,-11.146649730467175
0.6,-2.4,0.73,9.410289269453187,1.0970284699557453,3.6762562003098367,-12.831511842216315
0.6,-2.4,1.13,5.43159230513578,-6.923112502567932,-4.161236228521176,-4.824847757332805
0.6,-1.8,0.33,3.511779555214929,-2.2871744879609537,-3.01226993865032,-4.7424185364615425
0.6,-1.8,0.73,8.018282156255339,-3.6394139751282637,-0.09090909090909349,4.356732397808457
0.6,-1.8,1.13,2.7784602733036934,-4.925856902212331,3.67441860465118,-7.660180883884067
0.6,-1.2,0.33,1.6217127390994222,-3.2197023951746644,8.868981263998961,-10.620745525358785
0.6,-1.2,0.73,1.8739942665088734,-6.497732220434813,9.430225006294734,3.3788706909999746
0.6,-1.2,1.13,5.193150350631697,-4.447883637160089,8.69006752597977,-5.436273426220879
0.6,-0.6,0.33,-4.229916897506939,-2.359310368851567,2.8257051254430223,-6.583092855307882
0.6,-0.6,0.73,2.4605263157894797,-4.748100653393578,-8.065051177077976,21.830586024871764
0.6,-0.6,1.13,12.046979865771817,-0.5676763939199532,0.5154857356736784,9.219386194257794
1.2,-4.2,0.33,8.412875575719596,-7.771748740184449,7.911548543521576,-5.337941152108556
1.2,-4.2,0.73,11.37274632827328,-2.4182779096001354,-2.3168244723514135,0.49722880590658747
1.2,-4.2,1.13,4.674904097644173,5.946819531019514,0.16384779655612647,-6.588240394590059
1.2,-3.6,0.33,1.9389360637513562,6.48683481205984,1.6960415924134509,1.719289678531851
1.2,-3.6,0.73,8.547852048728458,-9.191571016061857,-2.650948822922004,-4.374925854771533
1.2,-3.6,1.13,7.3693750524302,11.951391683756157,1.906136448395813,9.11742294567
1.2,-3.0,0.33,7.454764118939664,8.94495583685378,-2.694551432125337,16.093100304907466
1.2,-3.0,0.73,3.4768480828430484,-6.742629956334127,-0.9862834359316537,-21.672307090345612
1.2,-3.0,1.13,2.655068022937172,-5.171083988680493,-6.497409486351813,-6.5719295171357714
1.2,-2.4,0.33,5.183174154424279,-14.988757713614461,-1.6967584941511689,1.7884780587432658
1.2,-2.4,0.73,6.859694034220837,8.790686080819398,0.8671522127525293,-14.467183168575275
1.2,-2.4,1.13,2.7182769835295915,-9.719220248802202,-7.036125557243281,-5.708223181353503
1.2,-1.8,0.33,5.216211316829458,-4.72387463642815,0.0531106441646898,-6.281871992674013
1.2,-1.8,0.73,6.836134941710128,-2.1062217623310175,-2.4091686495752924,-2.915210526375944
1.2,-1.8,1.13,2.996519138883002,-2.807110037812805,-1.3931925259797708,-3.3965757636192393
1.2,-1.2,0.33,-0.6086956521739069,-5.92244819225516,3.2254160363086157,-0.7568796905755732
1.2,-1.2,0.73,-1.063999999999993,-3.8447220157692072,7.4375,-8.787222015769203
1.2,-1.2,1.13,3.702290076335885,-4.441222754822945,1.3600000000000136,-2.749986113601551
1.2,-0.6,0.33,-7.755453653858183,-2.2479810234632396,7.387032601226593,11.820130431645111
1.2,-0.6,0.73,0.9538677418409236,0.24834556466737467,-6.929572478835979,3.7553493426388798
1.2,-0.6,1.13,4.247448822922024,-0.026977128895623537,-9.930883782271593,7.333477647527133
1.8,-4.2,0.33,4.656325760857129,4.684075269446623,-0.3659666514096216,3.0049614067460197
1.8,-4.2,0.73,6.239912827697765,-9.096899589998202,-4.360261084314715,-2.070465659409223
1.8,-4.2,1.13,4.759196574254247,5.390216799066081,-8.524262938097593,-5.969079791233696
1.8,-3.6,0.33,-0.39547513871147544,6.947017283223204,-0.9135222080256256,0.6642028808623479
1.8,-3.6,0.73,7.440963585837125,-10.442642748852847,-2.010470356173755,-16.637181715568147
1.8,-3.6,1.13,9.418709713663361,5.161801472166815,-3.92065554135894,-0.1881958399604855
1.8,-3.0,0.33,-7.508384230389822,-17.486929427729535,0.8335457868493563,-0.14220789675997025
1.8,-3.0,0.73,9.675756532073535,3.186039797844643,0.14840085931311364,-19.90470442775174
1.8,-3.0,1.13,-3.9955930614224258,-19.29523595557683,0.4763923123045686,-13.497418127134779
1.8,-2.4,0.33,-7.192117858031963,-5.27774027009238,-1.7487627878646492,-5.670841543453861
1.8,-2.4,0.73,7.417516693463057,6.430148719444247,-5.253297731492381,-3.40442131997267
1.8,-2.4,1.13,0.24199066909983458,-8.267257572385006,-4.645618467926482,-7.715869285513662
1.8,-1.8,0.33,2.029363784665577,-10.040990379654545,-4.224508366152008,-3.1857153072250526
1.8,-1.8,0.73,-1.762711864406782,-4.363046282679022,-3.7446833361963456,-9.425107190467486
1.8,-1.8,1.13,3.1626016260162544,-2.8437694639559083,-3.1380738229219958,-4.582941825876446
1.8,-1.2,0.33,-3.921696918951028,-0.4210650141766905,0.051800969185933354,-8.031973994762723
1.8,-1.2,0.73,-10.45730890529012,-8.060309325291087,-3.069051177077995,-6.640951732629929
1.8,-1.2,1.13,1.3263259166431567,0.8094949331020587,-1.1848858878217925,-6.869371240465881
1.8,-0.6,0.33,5.202798513455463,4.5818598837786055,6.38073394495413,-2.90599939949189
1.8,-0.6,0.73,0.27371259440081985,-6.3025373347082905,11.621212121212125,-4.862335103154351
1.8,-0.6,1.13,8.275988677077976,0.9951831741235537,8.46031746031747,-3.6334055938773417
2.4,-4.2,0.33,20.96435032349089,-10.589415225125492,-25.5864297253635,40.12262994518187
2.4,-4.2,0.73,8.23626060728705,8.538587080012377,-5.435483870967744,-15.228659946887262
2.4,-4.2,1.13,8.62488129694222,-0.6835564790475814,-4.556451612903231,-4.650974210585218
2.4,-3.6,0.33,0.29798119504454235,10.325606579572423,-2.3708609271523073,16.855025735686695
2.4,-3.6,0.73,-2.2129175486470842,-5.139593317823255,-3.6496350364963632,-6.748794827367135
2.4,-3.6,1.13,3.5640832740112955,4.621313622555647,-4.214285714285722,-0.35922071796247224
2.4,-3.0,0.33,1.832728319342948,4.247086833274267,-2.2093373493976003,12.992659935380686
2.4,-3.0,0.73,2.412020643470612,-1.9759152038603816,-2.82926829268294,-12.258778884117504
2.4,-3.0,1.13,0.07202199454809488,-6.671021885841014,-2.9469696969696884,-0.19361416153228106
2.4,-2.4,0.33,-2.854337152209496,-1.1603317182760406,-2.4058441558441643,-13.286183230200123
2.4,-2.4,0.73,6.484375,7.169418836905066,-7.193548387096769,34.353496723045794
2.4,-2.4,1.13,0.984732824427482,-11.265270113207663,-2.2348484848484986,-7.91616829054712
2.4,-1.8,0.33,-1.853794586262694,1.6621616135911097,-1.3742038216560388,7.42070494922757
2.4,-1.8,0.73,2.6679174802063983,0.7013905495096253,-3.328244274809151,-8.909445024854733
2.4,-1.8,1.13,-6.05688951576272,-3.937516600556677,-2.0245901639344197,-8.970475083451106
